Travelling Companion,Continent,Country,Year,Percentage
STUDENT GROUP,Europe,Belgium,2016,0
WITH FRIENDS,Europe,Belgium,2016,29.0323
WITH BUSINESS ASSOCIATE,Europe,Belgium,2016,0
WITH INCENTIVE GROUP,Europe,Belgium,2016,0
OTHERS,Europe,Belgium,2016,0
ALONE,Europe,Belgium,2017,26.4796
WITH SPOUSE,Europe,Belgium,2017,37.1806
WITH CHILDREN,Europe,Belgium,2017,1.40861
WITH FAMILY/RELATIVES,Europe,Belgium,2017,14.0861
STUDENT GROUP,Europe,Belgium,2017,0
WITH FRIENDS,Europe,Belgium,2017,19.4366
WITH BUSINESS ASSOCIATE,Europe,Belgium,2017,0
WITH INCENTIVE GROUP,Europe,Belgium,2017,0
OTHERS,Europe,Belgium,2017,1.40861
ALONE,Europe,Netherlands,2016,17.4905
WITH SPOUSE,Europe,Netherlands,2016,34.6008
WITH CHILDREN,Europe,Netherlands,2016,1.90114
WITH FAMILY/RELATIVES,Europe,Netherlands,2016,19.5817
STUDENT GROUP,Europe,Netherlands,2016,1.3308
WITH FRIENDS,Europe,Netherlands,2016,23.1939
WITH BUSINESS ASSOCIATE,Europe,Netherlands,2016,1.90114
WITH INCENTIVE GROUP,Europe,Netherlands,2016,0
OTHERS,Europe,Netherlands,2016,0
ALONE,Europe,Netherlands,2017,12.479
WITH SPOUSE,Europe,Netherlands,2017,40.4338
WITH CHILDREN,Europe,Netherlands,2017,0.502935
WITH FAMILY/RELATIVES,Europe,Netherlands,2017,22.653
STUDENT GROUP,Europe,Netherlands,2017,0.502935
WITH FRIENDS,Europe,Netherlands,2017,22.6739
WITH BUSINESS ASSOCIATE,Europe,Netherlands,2017,0.754403
WITH INCENTIVE GROUP,Europe,Netherlands,2017,0
OTHERS,Europe,Netherlands,2017,0
ALONE,Europe,Germany,2016,19.2982
WITH SPOUSE,Europe,Germany,2016,42.1053
WITH CHILDREN,Europe,Germany,2016,0.478469
WITH FAMILY/RELATIVES,Europe,Germany,2016,7.6555
STUDENT GROUP,Europe,Germany,2016,0.318979
WITH FRIENDS,Europe,Germany,2016,27.4322
WITH BUSINESS ASSOCIATE,Europe,Germany,2016,2.71132
WITH INCENTIVE GROUP,Europe,Germany,2016,0
OTHERS,Europe,Germany,2016,0
ALONE,Europe,Germany,2017,16.8237
WITH SPOUSE,Europe,Germany,2017,38.6396
WITH CHILDREN,Europe,Germany,2017,0.570687
WITH FAMILY/RELATIVES,Europe,Germany,2017,6.51756
STUDENT GROUP,Europe,Germany,2017,0
WITH FRIENDS,Europe,Germany,2017,36.0546
WITH BUSINESS ASSOCIATE,Europe,Germany,2017,1.29427
WITH INCENTIVE GROUP,Europe,Germany,2017,0
OTHERS,Europe,Germany,2017,0.0995591
ALONE,Europe,Switzerland,2016,21.3043
WITH SPOUSE,Europe,Switzerland,2016,44.3478
WITH CHILDREN,Europe,Switzerland,2016,0.869565
WITH FAMILY/RELATIVES,Europe,Switzerland,2016,8.26087
STUDENT GROUP,Europe,Switzerland,2016,0.869565
WITH FRIENDS,Europe,Switzerland,2016,23.0435
WITH BUSINESS ASSOCIATE,Europe,Switzerland,2016,0.434783
WITH INCENTIVE GROUP,Europe,Switzerland,2016,0
OTHERS,Europe,Switzerland,2016,0.869565
ALONE,Europe,Switzerland,2017,28.6997
WITH SPOUSE,Europe,Switzerland,2017,28.7091
WITH CHILDREN,Europe,Switzerland,2017,0
WITH FAMILY/RELATIVES,Europe,Switzerland,2017,6.48271
STUDENT GROUP,Europe,Switzerland,2017,0
WITH FRIENDS,Europe,Switzerland,2017,35.6454
WITH BUSINESS ASSOCIATE,Europe,Switzerland,2017,0.463051
WITH INCENTIVE GROUP,Europe,Switzerland,2017,0
OTHERS,Europe,Switzerland,2017,0
ALONE,Asia,Russia,2016,28.5714
WITH SPOUSE,Asia,Russia,2016,26.455
WITH CHILDREN,Asia,Russia,2016,1.5873
WITH FAMILY/RELATIVES,Asia,Russia,2016,15.3439
STUDENT GROUP,Asia,Russia,2016,0
WITH FRIENDS,Asia,Russia,2016,26.455
WITH BUSINESS ASSOCIATE,Asia,Russia,2016,1.5873
WITH INCENTIVE GROUP,Asia,Russia,2016,0
OTHERS,Asia,Russia,2016,0
ALONE,Asia,Russia,2017,14.415
WITH SPOUSE,Asia,Russia,2017,29.6117
WITH CHILDREN,Asia,Russia,2017,2.65477
WITH FAMILY/RELATIVES,Asia,Russia,2017,23.4339
STUDENT GROUP,Asia,Russia,2017,0
WITH FRIENDS,Asia,Russia,2017,29.2209
WITH BUSINESS ASSOCIATE,Asia,Russia,2017,0.663692
WITH INCENTIVE GROUP,Asia,Russia,2017,0
OTHERS,Asia,Russia,2017,0
ALONE,Oceania,Australia,2016,18.3496
WITH SPOUSE,Oceania,Australia,2016,45.8227
WITH CHILDREN,Oceania,Australia,2016,0.717581
WITH FAMILY/RELATIVES,Oceania,Australia,2016,14.4029
STUDENT GROUP,Oceania,Australia,2016,0.461302
WITH FRIENDS,Oceania,Australia,2016,17.4782
WITH BUSINESS ASSOCIATE,Oceania,Australia,2016,1.64018
WITH INCENTIVE GROUP,Oceania,Australia,2016,0.0512558
OTHERS,Oceania,Australia,2016,1.07637
ALONE,Oceania,Australia,2017,14.9699
WITH SPOUSE,Oceania,Australia,2017,40.0836
WITH CHILDREN,Oceania,Australia,2017,0.419879
WITH FAMILY/RELATIVES,Oceania,Australia,2017,12.0975
STUDENT GROUP,Oceania,Australia,2017,0.13996
WITH FRIENDS,Oceania,Australia,2017,29.7395
WITH BUSINESS ASSOCIATE,Oceania,Australia,2017,0.909739
WITH INCENTIVE GROUP,Oceania,Australia,2017,0
OTHERS,Oceania,Australia,2017,1.63999
ALONE,Oceania,New Zealand,2016,11.4478
WITH SPOUSE,Oceania,New Zealand,2016,43.4343
WITH CHILDREN,Oceania,New Zealand,2016,0.3367
WITH FAMILY/RELATIVES,Oceania,New Zealand,2016,17.8451
STUDENT GROUP,Oceania,New Zealand,2016,0.3367
WITH FRIENDS,Oceania,New Zealand,2016,21.5488
WITH BUSINESS ASSOCIATE,Oceania,New Zealand,2016,5.05051
WITH INCENTIVE GROUP,Oceania,New Zealand,2016,0
OTHERS,Oceania,New Zealand,2016,0
ALONE,Oceania,New Zealand,2017,12.1329
WITH SPOUSE,Oceania,New Zealand,2017,41.3067
WITH CHILDREN,Oceania,New Zealand,2017,0
WITH FAMILY/RELATIVES,Oceania,New Zealand,2017,18.4657
STUDENT GROUP,Oceania,New Zealand,2017,0
WITH FRIENDS,Oceania,New Zealand,2017,25.4177
WITH BUSINESS ASSOCIATE,Oceania,New Zealand,2017,2.23083
WITH INCENTIVE GROUP,Oceania,New Zealand,2017,0
OTHERS,Oceania,New Zealand,2017,0.446165
ALONE,Africa,South Africa,2016,39.726
WITH SPOUSE,Africa,South Africa,2016,36.9863
WITH CHILDREN,Africa,South Africa,2016,0
WITH FAMILY/RELATIVES,Africa,South Africa,2016,10.9589
STUDENT GROUP,Africa,South Africa,2016,0
WITH FRIENDS,Africa,South Africa,2016,8.21918
WITH BUSINESS ASSOCIATE,Africa,South Africa,2016,4.10959
WITH INCENTIVE GROUP,Africa,South Africa,2016,0
OTHERS,Africa,South Africa,2016,0
ALONE,Africa,South Africa,2017,24.2424
WITH SPOUSE,Africa,South Africa,2017,42.4242
WITH CHILDREN,Africa,South Africa,2017,0
WITH FAMILY/RELATIVES,Africa,South Africa,2017,27.2727
STUDENT GROUP,Africa,South Africa,2017,0
WITH FRIENDS,Africa,South Africa,2017,6.06061
WITH BUSINESS ASSOCIATE,Africa,South Africa,2017,0
WITH INCENTIVE GROUP,Africa,South Africa,2017,0
OTHERS,Africa,South Africa,2017,0
