Travelling Companion,Continent,Country,Year,Percentage
STUDENT GROUP,Asia,China,2016,0.473526
WITH FRIENDS,Asia,China,2016,18.4245
WITH BUSINESS ASSOCIATE,Asia,China,2016,1.29143
WITH INCENTIVE GROUP,Asia,China,2016,2.36763
OTHERS,Asia,China,2016,3.74516
ALONE,Asia,China,2017,1.89154
WITH SPOUSE,Asia,China,2017,30.385
WITH CHILDREN,Asia,China,2017,0.665734
WITH FAMILY/RELATIVES,Asia,China,2017,42.0134
STUDENT GROUP,Asia,China,2017,0.219801
WITH FRIENDS,Asia,China,2017,20.4433
WITH BUSINESS ASSOCIATE,Asia,China,2017,0.494553
WITH INCENTIVE GROUP,Asia,China,2017,1.68231
OTHERS,Asia,China,2017,2.20434
ALONE,Asia,Japan,2016,10.8635
WITH SPOUSE,Asia,Japan,2016,26.4624
WITH CHILDREN,Asia,Japan,2016,0.557103
WITH FAMILY/RELATIVES,Asia,Japan,2016,16.4345
STUDENT GROUP,Asia,Japan,2016,0.835655
WITH FRIENDS,Asia,Japan,2016,18.3844
WITH BUSINESS ASSOCIATE,Asia,Japan,2016,25.6267
WITH INCENTIVE GROUP,Asia,Japan,2016,0.278552
OTHERS,Asia,Japan,2016,0.557103
ALONE,Asia,Japan,2017,8.43347
WITH SPOUSE,Asia,Japan,2017,30.287
WITH CHILDREN,Asia,Japan,2017,0
WITH FAMILY/RELATIVES,Asia,Japan,2017,20.0403
STUDENT GROUP,Asia,Japan,2017,5.74223
WITH FRIENDS,Asia,Japan,2017,25.4012
WITH BUSINESS ASSOCIATE,Asia,Japan,2017,8.45504
WITH INCENTIVE GROUP,Asia,Japan,2017,0.820318
OTHERS,Asia,Japan,2017,0.820318
ALONE,Asia,South Korea,2016,9.375
WITH SPOUSE,Asia,South Korea,2016,36.25
WITH CHILDREN,Asia,South Korea,2016,0.625
WITH FAMILY/RELATIVES,Asia,South Korea,2016,16.25
STUDENT GROUP,Asia,South Korea,2016,0
WITH FRIENDS,Asia,South Korea,2016,28.125
WITH BUSINESS ASSOCIATE,Asia,South Korea,2016,8.125
WITH INCENTIVE GROUP,Asia,South Korea,2016,0
OTHERS,Asia,South Korea,2016,1.25
ALONE,Asia,South Korea,2017,4.57242
WITH SPOUSE,Asia,South Korea,2017,36.814
WITH CHILDREN,Asia,South Korea,2017,1.2698
WITH FAMILY/RELATIVES,Asia,South Korea,2017,33.2063
STUDENT GROUP,Asia,South Korea,2017,2.48517
WITH FRIENDS,Asia,South Korea,2017,19.4506
WITH BUSINESS ASSOCIATE,Asia,South Korea,2017,1.58045
WITH INCENTIVE GROUP,Asia,South Korea,2017,0
OTHERS,Asia,South Korea,2017,0.621293
ALONE,Asia,Taiwan,2016,7.78443
WITH SPOUSE,Asia,Taiwan,2016,55.6886
WITH CHILDREN,Asia,Taiwan,2016,1.1976
WITH FAMILY/RELATIVES,Asia,Taiwan,2016,24.5509
STUDENT GROUP,Asia,Taiwan,2016,0
WITH FRIENDS,Asia,Taiwan,2016,9.28144
WITH BUSINESS ASSOCIATE,Asia,Taiwan,2016,0.299401
WITH INCENTIVE GROUP,Asia,Taiwan,2016,0.598802
OTHERS,Asia,Taiwan,2016,0.598802
ALONE,Asia,Taiwan,2017,1.49805
WITH SPOUSE,Asia,Taiwan,2017,55.7244
WITH CHILDREN,Asia,Taiwan,2017,0.16645
WITH FAMILY/RELATIVES,Asia,Taiwan,2017,36.286
STUDENT GROUP,Asia,Taiwan,2017,0
